Year,Polling firm,Fieldwork date,Sample size,Method,,,,,,,Others,Lead
2026,Market-Lazarsfeld (for oe24.at),5–7 Jan 2026,"2,000",Online,36,19,18,9,11,4,3,17
2026,IFDD (for the Kronen Zeitung),2–5 Jan 2026,"1,509",Online,36,20,18,9,11,4,2,16
2025,Market-Lazarsfeld (for oe24.at),8–9 Dec 2025,"2,000",Online,38,18,18,9,11,3,3,20
2025,Market-Lazarsfeld (for oe24.at),17–18 Nov 2025,"2,000",Online,38,19,18,9,11,2,3,19
2025,Market-Lazarsfeld (for oe24.at),3–4 Nov 2025,"2,000",Online,37,20,18,8,10,3,4,17
2025,IFDD (for the Kronen Zeitung),17–21 Oct 2025,"1,215",Online,36,21,17,9,11,4,2,15
2025,Market-Lazarsfeld (for oe24.at),13–14 Oct 2025,"2,000",Online,38,21,17,7,11,4,2,17
2025,Market-Lazarsfeld (for oe24.at),6–7 Oct 2025,"2,000",Online,38,20,17,8,10,4,3,18
2025,Market-Lazarsfeld (for oe24.at),15–16 Sep 2025,"2,000",Online,36,21,18,8,11,3,3,15
2025,IFDD (for the Kronen Zeitung),10–12 Sep 2025,"1,500",Online,36,21,18,10,11,3,1,15
2025,OGM (for the Kurier),9–11 Sep 2025,"1,027",Online,33,23,19,10,11,3,1,10
2025,Market-Lazarsfeld (for oe24.at),8–9 Sep 2025,"2,000",Online,36,21,18,8,11,3,3,15
2025,OGM (for ServusTV),Early Sep 2025,?,Online,33,22,19,10,11,–,5,11
2025,Market-Lazarsfeld (for oe24.at),1–2 Sep 2025,"2,000",Online,36,21,19,9,10,2,3,15
2025,INSA (for exxpress.at),15–27 Aug 2025,"1,000",Online,37,19,20,9,9,4,2,17
2025,Market (for the Standard),24–30 Jul 2025,810,Online + CAPI,35,22,20,10,9,3,1,13
2025,INSA,14–17 Jul 2025,"1,000",Online,37,19,20,9,10,4,1,17
2025,IFDD,6–7 Jun 2025,"1,250",Online,32,24,19,10,11,3,1,8
2025,Unique Research,2–5 Jun 2025,800,Online + Phone,31,23,19,13,10,3,1,8
2025,Market,28 May–3 Jun 2025,824,Online + CAPI,34,21,20,10,10,3,2,13
2025,Market-Lazarsfeld,26–27 May 2025,"2,000",Online,34,20,21,9,10,3,3,13
2025,OGM,23–26 May 2025,"1,011",Online,32,22,21,12,9,–,4,10
2025,INSA,19–21 May 2025,"1,000",Online,36,20,20,8,9,4,2,16
2025,Market-Lazarsfeld,5–13 May 2025,"2,000",Online,34,22,21,9,9,3,2,12
2025,Market-Lazarsfeld,28 Apr–6 May 2025,"2,000",Online,33,21,21,10,9,3,3,12
2025,Market-Lazarsfeld,18–29 Apr 2025,"2,000",Online,33,22,21,10,9,2,3,11
2025,Market-Lazarsfeld,14–22 Apr 2025,"2,000",Online,34,22,20,10,9,3,2,12
2025,INSA,14–16 Apr 2025,"1,000",Online,34,20,22,9,9,3,3,12
2025,Market-Lazarsfeld,14–15 Apr 2025,"2,000",Online,34,21,20,10,9,3,3,13
2025,Market-Lazarsfeld,7–15 Apr 2025,"2,000",Online,34,21,20,10,9,3,3,13
2025,OGM,4–9 Apr 2025,"1,042",Online,32,23,21,11,9,2,2,9
2025,Market-Lazarsfeld,31 Mar–8 Apr 2025,"2,000",Online,33,21,21,10,8,3,4,12
2025,Market-Lazarsfeld,24 Mar–1 Apr 2025,"2,000",Online,34,21,20,10,8,3,4,13
2025,Market-Lazarsfeld,17–25 Mar 2025,"2,000",Online,34,21,20,11,9,2,3,13
2025,Market-Lazarsfeld,17–18 Mar 2025,"2,000",Online,33,22,21,12,8,2,2,11
2025,Market-Lazarsfeld,3–11 Mar 2025,"2,000",Online,33,21,21,11,9,3,2,12
2025,Market,5–7 Mar 2025,829,Online + CAPI,32,21,21,12,9,3,2,11
2025,Market-Lazarsfeld,24 Feb–4 Mar 2025,"2,000",Online,34,20,21,11,9,3,2,13
2025,INSA,24–26 Feb 2025,"1,000",Online,34,20,23,9,9,–,5,11
2025,Market-Lazarsfeld,24–25 Feb 2025,"2,000",Online,35,19,21,11,9,3,2,14
2025,OGM,17–18 Feb 2025,941,Online,34,19,21,13,10,2,1,13
2025,Market-Lazarsfeld,17–18 Feb 2025,"2,000",Online,34,18,22,11,10,3,2,12
2025,IFDD,13–15 Feb 2025,"1,250",Online,33,19,22,11,10,3,2,11
2025,Spectra,13–14 Feb 2025,"1,001",Online,35,19,22,10,9,3,3,13
2025,Market-Lazarsfeld,10–11 Feb 2025,"2,000",Online,33,19,23,10,10,3,2,10
2025,Market-Lazarsfeld,3–4 Feb 2025,"2,000",Online,34,19,22,9,10,3,3,12
2025,Market-Lazarsfeld,27–28 Jan 2025,"2,000",Online,34,19,22,10,9,3,3,12
2025,Market-Lazarsfeld,13–21 Jan 2025,"2,000",Online,35,18,21,12,9,3,2,14
2025,INSA,13–15 Jan 2025,"1,000",Online,35,20,20,11,8,–,6,15
2025,Market-Lazarsfeld,13–14 Jan 2025,"2,000",Online,38,17,19,12,9,3,2,19
2025,Market-Lazarsfeld,7–8 Jan 2025,"1,000",Online,39,17,19,10,10,3,2,20
2025,IFDD,3–4 Jan 2025,"1,250",Online,37,21,19,11,8,3,1,16
2024,2024 legislative election,29 Sep 2024,–,–,28.8,26.3,21.1,9.1,8.2,2.4,4.0 [ a ],2.5
2024,IFDD,17–18 Dec 2024,"1,250",Online,37,21,20,10,8,3,1,16
2024,Market-Lazarsfeld,16–17 Dec 2024,"2,000",Online,36,20,19,10,8,3,4,16
2024,Market,13–17 Dec 2024,809,Online + CAPI,35,22,20,10,8,3,2 [ b ],13
2024,Market-Lazarsfeld,9–10 Dec 2024,"2,000",Online,36,21,19,10,8,3,3,15
2024,Unique Research,2–4 Dec 2024,800,Online + Phone,35,20,21,12,8,2,2,14
2024,INSA,2–4 Dec 2024,"1,004",Online,34,21,20,9,8,3,5 [ b ],13
2024,Market-Lazarsfeld,2–3 Dec 2024,"2,000",Online,35,20,19,11,8,4,3,15
2024,Market-Lazarsfeld,25–26 Nov 2024,"2,000",Online,33,21,19,11,8,4,4,12
2024,OGM,25–26 Nov 2024,"1,018",Online,32,24,20,12,7,–,5,8
2024,Market-Lazarsfeld,18–19 Nov 2024,"2,000",Online,32,23,20,10,8,3,4,9
2024,INSA,11–13 Nov 2024,"1,000",Online,32,22,21,9,8,2,6 [ a ],10
2024,Market-Lazarsfeld,11–12 Nov 2024,"2,000",Online,33,23,21,9,8,3,3,10
2024,Market-Lazarsfeld,4–5 Nov 2024,"2,000",Online,34,23,21,9,8,3,2,11
2024,Market-Lazarsfeld,28–29 Oct 2024,"2,000",Online,33,23,21,10,8,3,2,10
2024,OGM,25–28 Oct 2024,"1,008",Online,32,25,20,10,8,2,3,7
2024,Market-Lazarsfeld,21–22 Oct 2024,"2,000",Online,33,23,19,11,8,4,2,10
2024,Market-Lazarsfeld,14–15 Oct 2024,"2,000",Online,32,25,19,10,8,3,3,7
2024,Market-Lazarsfeld,7–8 Oct 2024,"2,000",Online,33,26,19,10,7,2,3,7
2024,Market-Lazarsfeld,30 Sep – 1 Oct 2024,"2,000",Online,30,25,20,11,8,2,4,5
2024,2024 legislative election,29 Sep 2024,–,–,28.8,26.3,21.1,9.1,8.2,2.4,4.0 [ a ],2.5
