Year,Polling firm,Fieldwork date,Sample size,A,V,M,F,Æ,I,C,Ø,B,Å,O,H,Others,Lead,Gov.,Opp.,Red,Blue
2026,Voxmeter,2-8 Feb 2026,"1,001",22.5,10.7,6.3,13.0,9.0,9.7,7.7,6.3,3.8,1.9,6.0,2.3,0.8,9.5,39.5,60.5,47.5,45.4
2026,Voxmeter,25 Jan–1 Feb 2026,"1,001",22.3,12.0,5.0,11.3,9.2,10.0,7.4,6.2,4.7,2.3,6.8,1.9,0.9,10.3,39.3,59.8,46.8,47.3
2026,Epinion,21–28 Jan 2026,"2,034",21.6,9.9,4.6,13.0,8.8,11.4,7.1,6.9,5.2,2.2,7.0,1.9,0.0,8.6,36.1,63.5,48.9,46.7
2026,Voxmeter,19–25 Jan 2026,"1,035",23.1,10.8,7.0,12.6,8.9,10.5,6.5,7.3,3.7,1.7,5.4,2.0,0.5,10.5,40.9,58.6,48.4,44.1
2026,Megafon,20–22 Jan 2026,"1,012",22.7,10.1,6.4,14.3,6.2,10.4,6.6,7.8,5.0,1.9,7.3,1.3,0.0,8.4,39.2,60.8,51.3,41.9
2026,Voxmeter,12–18 Jan 2026,"1,007",21.2,11.0,5.0,14.0,9.9,10.9,6.9,6.0,4.3,2.3,6.6,1.6,0.3,7.2,37.2,62.5,47.8,46.9
2026,Voxmeter,5–11 Jan 2026,"1,005",19.8,10.8,3.3,14.9,10.3,10.5,6.6,7.5,5.4,2.4,6.5,1.5,0.5,4.9,33.9,65.6,50.0,46.2
2022,2022 election result,–,27.50,13.32,9.27,8.30,8.12,7.89,5.51,5.13,3.79,3.33,2.64,—,5.21 [ a ],14.18,50.09,49.79,48.95,41.65,
2025,Voxmeter,15–21 Dec 2025,"1,005",18.9,12.2,2.8,13.9,10.0,11.2,7.9,6.1,5.4,2.1,6.8,2.3,0.4,5.0,33.9,65.7,46.4,50.4
2025,Voxmeter,8–14 Dec 2025,"1,000",18.6,11.7,2.4,14.3,9.2,11.7,7.8,7.0,5.2,2.0,8.0,1.7,0.4,4.3,32.7,67.3,47.1,50.1
2025,Epinion,4–11 Dec 2025,"2,034",16.5,11.6,1.5,16.0,9.9,10.4,8.5,6.8,5.1,1.7,9.3,2.2,0.0,0.5,29.6,70.4,46.1,51.9
2025,Voxmeter,1–7 Dec 2025,"1,005",18.0,11.3,2.7,15.6,8.6,12.2,7.0,7.7,4.6,1.6,8.1,2.0,0.6,2.4,32.0,68.0,47.5,49.2
2025,Megafon,1 Dec–4 Dec 2025,"1,008",17.7,12.7,2.2,14.8,8.4,11.9,8.6,7.3,4.7,1.7,7.9,1.1,0.7,2.9,32.6,67.4,46.2,50.5
2025,Verian,26 Nov–2 Dec 2025,"1,672",19.5,11.3,3.3,15.7,9.6,11.0,7.3,5.7,4.8,1.7,8.7,1.0,1.4,3.8,34.1,65.9,48.1,48.6
2025,Voxmeter,24–30 Nov 2025,"1,002",19.4,12.0,2.9,14.7,8.5,10.9,7.2,7.0,4.0,2.2,8.9,2.0,0.3,4.7,34.3,65.7,47.3,49.5
2025,Epinion,19–25 Nov 2025,"2,034",17.5,11.5,1.8,14.1,10.5,11.8,8.8,6.5,3.7,3.0,8.7,1.4,0.0,3.4,30.8,69.2,44.8,52.7
2025,Voxmeter,17–23 Nov 2025,"1,024",19.3,11.5,2.4,13.0,8.2,12.8,7.3,7.6,5.2,1.7,8.3,2.0,0.5,6.3,33.2,66.8,46.8,50.1
2025,2025 local elections,— N/a,23.2,17.9,1.3,11.1,4.6,5.5,12.7,7.1,5.4,1.1,5.9,— N/a,4.3,5.3,42.4,57.7,47.9,46.6,
2025,Voxmeter,10–16 Nov 2025,"1,007",19.9,10.4,2.9,12.1,9.2,11.4,7.2,7.7,6.2,2.1,8.3,2.1,0.5,7.8,33.2,66.8,48.0,48.6
2025,Voxmeter,3–9 Nov 2025,"1,005",21.1,9.6,3.1,12.2,9.5,9.9,7.9,6.6,5.8,1.8,8.4,3.1,1.0,8.9,33.8,66.2,47.5,48.4
2025,Megafon,3-6 Nov 2025,"1,006",19.8,11.2,2.8,16.2,8.0,10.9,7.0,7.2,4.4,1.9,9.4,0.4,0.8,3.6,33.8,66.2,49.5,46.9
2025,Verian,29 Oct–4 Nov 2025,"1,784",22.8,10.5,3.3,12.5,7.6,10.5,7.9,7.3,3.8,1.3,10.1,0.9,1.3,10.3,36.6,63.4,48.1,48.4
2025,Voxmeter,27 Oct–2 Nov 2025,"1,005",21.1,10.5,3.5,12.3,8.0,10.8,7.1,7.0,5.4,2.1,9.6,2.1,0.5,8.8,35.1,64.9,47.9,48.1
2025,Voxmeter,20–26 Oct 2025,"1,002",21.2,10.4,4.4,12.6,9.3,11.3,6.3,6.7,4.1,1.8,9.4,2.2,0.3,8.6,36.0,64.0,46.4,48.9
2025,Voxmeter,13–19 Oct 2025,"1,004",20.0,11.8,3.7,12.4,9.0,11.0,6.4,7.2,4.2,2.3,9.2,2.0,0.8,7.6,35.5,64.5,46.1,49.4
2025,Voxmeter,6–12 Oct 2025,"1,004",20.3,10.7,3.3,12.5,9.5,12.2,6.2,6.3,5.2,2.9,8.9,1.5,0.4,7.7,34.3,65.7,47.3,49.0
2025,Voxmeter,23 Sep–5 Oct 2025,"1,031",19.2,9.5,4.2,13.1,9.1,13.0,6.9,7.3,4.8,2.2,8.3,1.8,0.6,6.1,32.9,67.1,46.6,48.6
2025,Epinion,26 Sep–2 Oct 2025,"2,052",20.9,9.1,2.7,12.5,7.9,11.4,6.2,7.6,4.8,2.4,12.0,1.4,1.1,8.4,32.7,67.3,48.2,48.0
2025,Verian,24–30 Sep 2025,"1,638",22.1,10.3,3.1,14.2,8.6,12.3,5.7,7.2,4.2,1.2,9.2,0.9,0.8,7.9,35.5,64.5,49.1,47.6
2025,Voxmeter,22–28 Sep 2025,"1,006",20.4,10.0,3.4,12.0,9.6,11.7,7.0,7.3,4.2,2.7,8.1,2.3,1.3,8.4,33.8,66.2,46.6,48.7
2025,Megafon,22–25 Sep 2025,"1,014",21.6,9.0,3.2,12.6,8.8,12.8,8.1,7.2,4.9,1.7,7.8,1.7,0.6,8.8,33.8,66.2,48.0,48.2
2025,Voxmeter,15–21 Sep 2025,"1,014",21.7,10.7,3.0,12.5,8.4,12.3,6.6,8.2,3.5,2.0,8.4,2.1,0.6,9.2,35.4,64.6,47.9,48.5
2025,Voxmeter,8–14 Sep 2025,"1,006",22.0,9.2,3.0,12.6,9.2,12.8,6.0,7.8,3.6,3.2,7.8,1.4,0.8,9.2,34.8,65.2,49.2,47.0
2025,Voxmeter,1–7 Sep 2025,"1,000",21.4,11.0,3.2,13.3,10.2,11.8,6.2,7.4,3.9,2.6,6.5,1.9,0.6,8.1,35.6,64.4,48.6,47.6
2025,Voxmeter,25–31 Aug 2025,"1,001",19.5,9.4,3.2,14.7,9.3,13.3,7.1,6.8,4.4,2.3,7.8,1.3,0.9,4.8,32.0,68.0,47.7,48.2
2025,Voxmeter,18–24 Aug 2025,"1,004",20.3,10.6,3.3,14.5,10.0,11.6,6.7,6.3,5.1,2.1,7.5,1.0,1.0,5.8,34.2,65.8,48.3,47.4
2025,Epinion,13–20 Aug 2025,"1,582",19.5,10.0,3.9,15.2,8.9,12.5,6.0,7.3,4.3,2.1,8.1,1.0,1.2,6.8,34.6,64.7,49.8,45.4
2025,Voxmeter,11–17 Aug 2025,"1,065",21.6,9.6,2.7,13.0,9.4,12.8,7.2,7.2,4.5,2.5,6.9,1.8,0.8,8.6,33.9,65.3,48.8,47.7
2025,Voxmeter,23–29 Jun 2025,"1,002",22.4,11.0,4.0,13.0,8.7,13.1,6.2,7.0,4.3,1.9,5.8,2.5,0.1,9.3,37.4,62.5,48.6,47.3
2025,Voxmeter,16–22 Jun 2025,"1,052",21.6,10.9,2.9,13.8,10.2,12.2,6.1,7.3,3.7,2.6,5.6,2.5,0.6,7.8,35.4,64.0,49.0,47.5
2025,Megafon,16–19 Jun 2025,"1,018",22.2,11.3,3.3,14.2,7.7,12.0,7.5,6.5,5.1,1.7,6.7,1.5,0.3,8.0,36.8,62.9,49.7,46.7
2025,Voxmeter,9–15 Jun 2025,"1,007",22.7,10.1,3.1,13.2,10.1,12.5,6.2,8.2,4.2,3.1,4.8,1.4,0.4,9.5,35.9,63.7,51.4,45.1
2025,Voxmeter,2–8 Jun 2025,"1,011",23.8,11.1,3.6,12.5,10.5,10.8,6.1,7.5,4.4,2.5,5.0,1.7,0.5,11.3,38.5,61.0,50.7,45.2
2025,Epinion,26 May–2 Jun 2025,"1,582",21.1,9.4,4.1,14.3,9.5,11.7,5.4,7.5,4.1,2.8,7.6,1.8,—,6.8,34.6,64.7,49.8,45.4
2025,Voxmeter,19–25 May 2025,"1,003",23.8,10.9,4.4,13.2,8.5,13.1,6.6,6.7,4.5,2.4,3.7,2.1,0.1,10.6,39.1,60.8,50.6,44.9
2025,Voxmeter,12–18 May 2025,"1,001",24.0,10.0,3.3,13.9,9.6,13.3,5.7,6.7,4.9,2.1,4.4,1.7,0.4,10.1,37.3,62.3,51.6,44.7
2025,Voxmeter,5–11 May 2025,"1,007",23.4,10.6,3.4,12.8,9.3,12.3,6.2,7.3,4.2,3.0,5.2,0.9,1.4,10.6,37.4,61.2,50.7,44.5
2025,Voxmeter,28 Apr–4 May 2025,"1,003",22.9,9.2,3.8,14.1,9.9,13.5,5.4,8.0,4.7,1.9,5.2,1.1,0.3,8.8,35.9,62.7,51.6,44.3
2025,Epinion,22–29 Apr 2025,"1,483",22.9,10.3,3.9,13.6,10.4,13.1,5.7,7.1,4.4,2.6,5.7,1.1,—,9.3,37.1,63.7,50.6,46.3
2025,Voxmeter,21–27 Apr 2025,"1,005",22.4,9.5,3.5,13.7,9.6,14.0,6.4,7.8,4.0,2.0,4.9,1.7,0.5,8.4,35.4,62.1,49.9,46.1
2025,Voxmeter,14–20 Apr 2025,"1,002",23.5,10.0,3.5,12.7,9.2,13.1,5.6,7.6,4.9,2.1,4.8,2.4,0.6,10.4,37.0,62.4,50.8,45.1
2025,Voxmeter,7–13 Apr 2025,"1,007",22.6,9.2,3.5,13.9,9.2,12.2,6.1,7.1,6.4,2.9,4.1,1.9,0.9,8.7,35.3,63.8,52.9,42.7
2025,Voxmeter,31 Mar–6 Apr 2025,"1,016",22.8,10.1,4.3,14.0,9.2,13.8,5.6,6.2,5.3,2.2,4.5,1.5,0.5,8.8,37.2,62.3,50.5,44.7
2025,Verian,26 Mar–1 Apr 2025,"1,641",22.5,10.8,3.8,15.0,8.3,12.9,5.8,6.9,4.0,1.6,5.3,1.8,1.3 [ b ],8.8,37.2,62.3,50.5,44.7
2025,Voxmeter,24–30 Mar 2025,"1,076",22.6,10.4,3.2,13.3,10.4,13.0,6.4,6.9,4.8,2.0,4.7,1.8,0.5,9.3,36.2,63.3,49.6,46.7
2025,Epinion,19–26 Mar 2025,"1,640",23.2,9.3,3.6,14.9,10.8,12.8,5.5,6.6,4.7,2.0,4.5,1.2,—,8.3,36.1,63.0,51.4,44.1
2025,Voxmeter,17–23 Mar 2025,"1,002",23.8,9.3,4.0,12.5,9.4,12.2,7.0,6.3,5.2,2.2,5.2,1.9,1.0,11.3,37.1,61.9,50.0,45.0
2025,Voxmeter,10–16 Mar 2025,"1,005",23.4,10.5,3.4,13.2,10.4,11.8,6.5,6.5,4.0,2.5,4.8,2.1,0.9,10.2,37.3,61.8,49.6,46.1
2025,Voxmeter,3–9 Mar 2025,"1,002",23.2,9.8,3.3,14.4,10.1,11.2,6.8,6.9,4.6,2.2,4.8,1.3,1.3,8.8,36.3,62.4,51.3,44.0
2025,Verian,26 Feb–4 Mar 2025,"1,797",21.9,11.1,4.3,14.5,9.2,10.5,7.6,6.5,4.4,2.2,5.3,1.6,2.5 [ c ],8.8,36.3,62.4,51.3,44.0
2025,Voxmeter,24 Feb–2 Mar 2025,"1,012",22.6,11.1,3.5,15.0,10.0,12.1,6.2,5.8,4.0,2.3,4.2,1.7,1.5,7.6,37.2,61.3,49.7,45.3
2025,Voxmeter,17–23 Feb 2025,"1,013",21.8,10.5,3.5,13.6,10.0,13.2,6.2,6.5,4.3,2.7,4.2,2.2,1.3,8.2,35.8,62.9,48.9,46.3
2025,Voxmeter,10–16 Feb 2025,"1,002",21.0,10.3,4.1,14.2,9.7,12.2,6.7,6.9,4.5,2.7,5.3,1.3,1.1,6.8,35.4,63.5,49.3,45.5
2025,Voxmeter,3–9 Feb 2025,"1,028",19.9,10.7,4.0,14.2,9.3,11.6,6.9,8.0,4.5,2.3,4.7,1.6,2.3,5.7,34.6,63.1,48.9,44.8
2025,Verian,29 Jan–4 Feb 2025,"1,897",23.0,11.4,4.0,14.4,9.6,9.2,7.2,6.6,4.4,1.8,5.4,1.8,1.2 [ d ],8.6,38.4,61.6,50.2,48.6
2025,Voxmeter,27 Jan–2 Feb 2025,"1,010",20.4,9.5,3.7,14.9,10.0,12.3,7.8,7.2,4.3,1.5,4.5,2.2,1.7,5.5,33.6,64.7,48.3,46.3
2025,Voxmeter,20–26 Jan 2025,"1,001",20.4,10.1,3.2,15.1,11.7,11.8,7.0,7.0,4.5,1.7,4.1,1.2,2.2,5.3,33.7,64.1,49.6,45.5
2025,Epinion,15–22 Jan 2025,"1,635",19.7,8.6,4.4,15.8,11.5,11.6,6.8,6.8,4.1,2.4,4.9,1.8,—,3.9,32.7,63.9,48.8,43.4
2025,Voxmeter,13–19 Jan 2025,"1,014",19.1,9.2,3.5,16.0,10.5,13.1,6.6,7.2,5.3,2.0,5.1,1.0,1.4,3.1,31.8,66.8,49.6,45.5
2025,Voxmeter,6–12 Jan 2025,"1,039",19.2,10.5,3.5,17.3,11.1,12.1,6.6,6.3,4.8,1.6,4.2,—,2.8,1.9,33.2,64.0,48.7,45.9
2022,2022 election result,–,27.50,13.32,9.27,8.30,8.12,7.89,5.51,5.13,3.79,3.33,2.64,—,5.21 [ e ],14.18,50.09,49.79,48.95,41.65,
2024,Voxmeter,16–23 Dec 2024,"1,002",20.0,9.5,3.9,15.9,10.3,13.2,5.5,7.0,4.0,—,1.9,4.9,3.9,4.1,33.4,63.7,48.8,43.4
2024,Voxmeter,9–15 Dec 2024,"1,032",20.4,10.3,3.4,16.1,10.5,12.2,6.2,7.6,5.0,—,2.4,4.0,1.9,4.3,34.1,64.0,51.5,43.2
2024,Verian,4–10 Dec 2024,"1,737",19.6,11.8,3.7,16.8,9.7,11.9,5.1,7.6,3.8,0.2,1.7,6.8,1.3 [ f ],2.8,35.1,64.4,49.5,45.3
2024,Epinion,4 Nov–10 Dec 2024,"1,590",19.6,9.6,3.5,14.4,10.4,13.4,6.1,7.2,5.3,—,2.2,6.2,—,5.2,32.7,65.2,48.7,45.7
2024,Voxmeter,2–8 Dec 2024,"1,001",19.2,10.6,3.6,17.3,10.7,12.4,5.7,6.8,4.9,—,2.7,4.4,1.7,1.9,33.4,64.9,50.9,43.8
2024,Voxmeter,25 Nov–1 Dec 2024,"1,017",20.2,10.6,4.6,17.1,11.0,12.6,5.4,6.3,4.1,—,2.1,4.2,1.8,3.1,35.4,62.8,49.8,43.8
2024,Voxmeter,18–24 Nov 2024,"1,010",18.5,10.0,3.9,18.1,11.7,11.9,6.2,6.4,4.4,—,2.7,4.4,1.8,0.4,32.4,65.8,50.1,44.2
2024,Voxmeter,11–17 Nov 2024,"1,038",18.7,10.1,4.2,17.0,10.7,12.7,6.8,6.7,4.9,—,2.2,4.6,1.4,1.7,33.0,65.6,49.5,44.9
2024,Verian,6–13 Nov 2024,"2,035",20.9,11.6,4.2,14.0,9.4,11.9,7.2,7.9,3.6,0.7,2.2,5.1,1.3 [ g ],6.9,36.7,62.6,48.6,45.2
2024,Voxmeter,4–10 Nov 2024,"1,002",19.2,9.9,4.0,16.3,11.1,13.9,5.3,7.0,4.8,—,2.7,4.1,1.7,2.9,32.1,65.2,50.0,44.3
2024,Epinion,30 Oct–6 Nov 2024,"1,592",19.3,9.5,3.4,16.0,11.1,12.8,6.7,7.1,5.2,—,2.2,5.2,—,3.3,32.2,66.3,48.7,45.3
2024,Voxmeter,28 Oct–3 Nov 2024,"1,249",20.4,10.7,3.4,16.6,10.6,12.9,5.4,6.1,4.4,—,2.7,4.9,1.9,4.2,34.5,63.6,50.2,44.5
2024,Voxmeter,21–27 Oct 2024,"1,001",20.8,12.3,3.3,15.4,9.4,13.3,6.0,7.0,4.7,—,2.3,3.7,1.8,5.4,36.4,62.8,50.2,44.7
2024,Voxmeter,14–21 Oct 2024,"1,002",19.6,11.1,3.4,16.9,9.9,12.5,6.8,7.2,3.5,—,2.0,4.2,2.8,2.7,34.1,63.1,49.3,44.5
2024,Voxmeter,7–13 Oct 2024,"1,005",20.1,9.9,4.3,15.8,9.8,13.4,6.1,7.8,4.1,—,2.1,4.8,1.8,4.3,34.3,63.9,49.9,44.0
2024,Voxmeter,23–30 Sep 2024,"1,003",21.7,10.3,3.5,15.2,10.8,11.6,5.9,8.3,4.5,—,1.4,4.6,2.2,6.5,35.5,62.3,51.1,43.2
2024,Epinion,20–27 Sep 2024,"1,614",19.9,10.4,4.0,14.8,9.9,13.0,6.5,7.7,4.2,—,2.2,5.7,—,5.1,34.3,64.0,48.8,45.5
