Date_conducted,Pollster,Sample_size,FdI,PD,M5S,Lega,FI,Az,IV,AVS,+E,NM,DSP,PLD,FN,Lead
2025-03-03,SWG,1200.0,30.0,22.5,12.0,8.3,9.4,3.4,2.6,6.5,1.8,1.0,,2.5,7.5,
2025-02-28,EMG,,30.3,23.6,11.6,8.6,9.1,2.4,2.5,6.2,1.8,1.3,,2.6,6.7,
2025-02-27,Ipsos,1000.0,27.0,22.6,13.2,8.1,8.2,2.3,2.3,6.0,2.2,1.2,,6.9,4.4,
2025-02-27,Termometro Politico,3000.0,29.3,22.4,11.6,8.6,8.6,2.9,2.5,6.1,1.9,1.2,1.2,3.7,6.9,
2025-02-27,Tecnè,1001.0,29.8,22.3,11.3,8.2,11.3,2.9,2.5,6.0,1.9,,,3.8,7.6,
2025-02-27,Ixè,1000.0,30.4,21.9,12.3,8.2,8.6,3.3,1.9,7.6,2.4,1.0,,2.4,8.5,
2025-02-26,Eumetra,800.0,30.1,22.9,11.8,8.3,9.3,2.9,2.8,6.3,1.9,1.1,,2.6,7.2,
2025-02-26,Winpoll,1500.0,27.6,24.4,10.7,8.4,8.3,2.7,2.7,7.1,1.6,,,6.5,3.2,
2025-02-25,Noto,,30.5,23.5,12.5,8.5,8.0,2.5,2.5,5.5,1.5,2.0,,3.0,7.0,
2025-02-25,Piepoli,500.0,29.5,23.0,12.0,9.0,9.0,3.0,3.0,6.5,2.0,1.0,,3.0,6.5,
2025-02-24,SWG,1200.0,30.2,22.2,12.2,8.0,9.2,3.2,2.8,6.5,1.9,1.1,,2.7,8.0,
2025-02-20,Tecnè,1000.0,29.6,22.5,11.2,8.3,11.4,2.8,2.4,5.9,2.0,,,3.9,7.1,
2025-02-19,EMG,1185.0,30.0,23.8,11.4,8.7,9.2,2.3,2.6,5.9,1.9,1.3,,3.0,6.2,
2025-02-20,Termometro Politico,2800.0,29.5,22.3,11.4,8.6,8.7,2.8,2.4,6.3,2.0,1.2,1.3,3.5,7.2,
2025-02-20,BiDiMedia,1200.0,28.9,23.8,11.1,8.2,8.8,2.7,2.2,6.4,1.7,0.9,1.4,3.9,5.1,
2025-02-19,Eumetra,800.0,29.9,22.9,11.5,8.6,9.2,3.0,2.8,6.2,2.1,0.9,,2.9,7.0,
2025-02-16,Euromedia Research,1000.0,30.5,23.5,11.5,8.7,9.3,3.0,2.8,5.7,1.8,0.7,,2.5,7.0,
2025-02-14,Tecnè,1002.0,29.5,22.7,11.0,8.4,11.3,2.7,2.5,6.0,1.9,,,4.0,6.8,
2025-02-17,SWG,1200.0,29.8,22.0,11.9,8.2,9.3,3.1,3.0,6.6,2.1,1.0,,3.0,7.8,
2025-02-13,Termometro Politico,2700.0,29.7,22.4,11.3,8.6,8.6,2.7,2.5,6.5,2.0,1.2,1.2,3.3,7.3,
2025-02-14,Lab2101,1000.0,30.4,21.6,10.7,8.6,8.4,3.3,2.9,5.5,2.1,0.6,,5.9,8.8,
2025-02-13,EMG,1121.0,30.2,23.6,11.6,8.9,8.9,2.2,2.7,5.8,2.0,1.3,,2.8,6.6,
2025-02-14,Demos & Pi,1004.0,29.5,22.8,11.4,8.7,9.0,3.3,2.6,6.2,2.2,,,4.3,6.7,
2025-02-12,Piepoli,500.0,30.0,23.5,11.5,8.5,9.0,2.5,2.5,6.0,1.0,1.5,,4.0,6.5,
2025-02-07,Quorum,804.0,29.2,22.8,11.4,8.0,8.8,2.9,2.3,6.4,2.4,0.7,,5.1,6.4,
2025-02-10,SWG,1200.0,29.5,22.3,11.8,8.5,9.2,3.1,2.9,6.7,1.9,1.1,,3.0,7.2,
2025-02-07,Tecnè,1000.0,29.7,22.9,10.8,8.5,11.4,2.6,2.4,5.8,2.0,,,3.9,6.8,
2025-02-05,EMG,1135.0,30.6,24.0,11.3,8.9,8.6,2.2,2.7,6.0,1.8,1.4,,2.5,6.6,
2025-02-05,Eumetra,800.0,29.5,23.2,11.4,8.6,9.1,2.6,2.6,6.0,1.9,1.0,,4.1,6.3,
2025-02-03,Noto Sondaggi,1000.0,30.5,24.0,11.5,8.5,8.5,2.5,2.5,5.5,1.5,2.0,,3.0,6.5,
2025-02-03,SWG,1200.0,29.5,22.6,11.8,8.3,9.1,3.1,2.9,6.5,2.1,1.2,,2.9,6.9,
2025-01-30,Ipsos,1000.0,27.8,22.8,12.5,8.5,8.5,2.0,2.5,5.8,2.0,1.0,,6.6,5.0,
2025-01-29,Eumetra,800.0,29.6,23.0,11.3,8.5,9.3,3.0,2.5,6.2,1.9,1.2,,3.5,6.6,
2025-01-31,Lab2101,1000.0,30.8,21.4,10.7,8.7,8.4,3.2,2.9,5.8,2.4,0.6,,5.1,9.4,
2025-01-28,Demopolis,2000.0,30.0,24.0,11.2,8.7,9.3,2.5,2.2,6.5,1.6,,,4.0,6.0,
2025-01-27,SWG,1200.0,29.7,22.8,11.4,8.4,9.1,3.2,2.8,6.5,2.0,1.3,,2.8,7.1,
2025-01-24,Tecnè,1001.0,29.5,23.0,10.6,8.5,11.3,2.8,2.2,6.1,2.0,,,4.0,6.5,
2025-01-22,EMG,1013.0,30.7,24.1,11.1,9.0,8.4,2.1,2.6,6.1,1.7,1.4,,2.8,6.6,
2025-01-15,EMG,1165.0,30.4,23.9,10.8,8.9,8.6,2.7,2.0,6.3,1.7,1.3,,3.4,6.5,
2025-01-13,SWG,1200.0,29.8,22.2,11.6,8.3,9.1,3.3,2.7,6.6,2.0,1.0,,3.4,7.6,
2025-01-10,Quorum,1203.0,28.3,23.3,11.5,8.2,9.3,2.9,2.0,6.3,2.0,1.0,,5.2,5.0,
2025-01-10,Tecnè,1000.0,29.8,23.3,10.4,8.8,11.5,2.6,2.0,6.1,1.8,,,3.7,6.5,
2025-01-09,Termometro Politico,2600.0,29.4,23.1,11.0,8.6,8.2,2.6,2.3,6.5,1.8,1.2,1.4,3.9,6.4,
2025-01-08,Eumetra,800.0,28.6,23.0,11.5,8.8,9.4,2.7,2.3,6.3,2.2,1.0,,4.2,5.6,
2025-01-06,SWG,1200.0,29.1,22.5,11.4,8.6,9.4,3.3,2.5,6.5,2.1,1.1,,4.5,6.6,
2024-12-20,Tecnè,998.0,28.6,23.7,10.7,8.8,11.4,2.7,2.2,6.2,1.8,,,,3.9,
2024-12-23,SWG,1200.0,29.1,22.2,11.5,8.8,9.1,3.2,2.7,6.7,1.9,,1.2,1.0,2.6,
2024-12-20,Ipsos,1000.0,27.6,22.5,13.3,8.6,8.1,2.0,2.0,6.0,2.3,,1.0,1.0,5.6,
2024-12-19,Termometro Politico,2800.0,29.6,22.7,10.6,8.8,8.4,2.7,2.4,6.7,1.8,1.3,1.1,0.6,2.9,
2024-12-20,Winpoll,1500.0,28.2,25.6,10.8,9.3,7.3,2.7,2.4,7.6,2.4,1.6,,,2.1,
2024-12-16,SWG,1200.0,29.3,22.2,11.2,8.4,9.4,3.1,2.5,6.9,2.0,,1.1,1.0,2.9,
2024-12-13,Demopolis,2000.0,29.5,24.0,11.8,8.7,9.0,2.4,2.0,6.4,,,,,,
2024-12-13,Tecnè,1000.0,28.7,23.8,10.9,8.6,11.4,2.5,2.2,6.1,1.9,,,,3.9,
2024-12-12,Termometro Politico,2800.0,29.5,23.0,10.9,9.0,8.2,2.8,2.3,6.6,1.8,1.3,1.1,0.6,2.9,
2024-12-11,Eumetra,800.0,28.8,23.2,11.3,8.6,9.1,2.8,2.4,6.4,1.9,,1.1,,4.4,
2024-12-11,Ixè,1000.0,27.1,23.1,12.1,9.4,9.8,2.4,2.2,6.8,2.3,,,,4.8,
2024-12-06,Tecnè,1002.0,28.9,23.6,10.8,8.5,11.3,2.4,2.3,6.2,2.0,,,,4.0,
2024-12-09,SWG,1.2,28.8,22.4,11.5,8.7,9.2,3.2,2.4,6.9,2.0,,1.2,1.0,2.7,
2024-12-06,Quorum,1202.0,27.5,24.2,11.6,8.6,7.8,3.5,2.1,6.0,2.0,,1.1,,5.6,
2024-12-05,Termometro Politico,2900.0,29.5,22.8,10.6,8.8,8.4,2.9,2.4,6.7,1.8,1.4,1.0,0.6,3.1,
2024-12-05,BiDiMedia,1000.0,28.4,24.6,11.0,8.6,9.0,2.5,1.9,6.5,1.4,1.4,0.7,0.7,3.3,
2024-12-04,Eumetra,800.0,28.9,23.0,11.7,8.8,8.8,2.5,2.2,6.4,2.1,,1.2,,4.4,
2024-12-02,SWG,1200.0,29.1,22.4,11.7,8.9,9.0,2.9,2.5,6.7,2.0,,1.3,1.0,2.5,
2024-11-29,Tecnè,1000.0,29.1,23.4,10.7,8.6,11.4,2.5,2.2,6.1,2.1,,,,3.9,
2024-11-28,Ipsos,1000.0,27.7,22.6,13.0,8.7,8.0,2.2,2.0,6.2,2.2,,1.2,1.0,5.2,
2024-11-28,Termometro Politico,3100.0,29.3,23.0,10.6,8.6,8.5,2.9,2.4,6.6,1.8,1.4,1.2,0.6,3.2,
2024-11-28,Winpoll,1500.0,27.8,26.1,10.4,8.7,9.4,2.1,2.1,6.5,1.4,1.9,,,3.6,
2024-11-25,Euromedia,1000.0,29.5,24.2,11.5,9.0,8.9,2.5,2.2,5.5,2.6,,0.4,,3.7,
2024-11-22,Tecnè,1000.0,29.3,23.1,10.6,8.6,11.3,2.4,2.3,6.3,2.0,,,,4.1,
2024-11-21,Termometro Politico,3100.0,29.3,22.9,10.5,8.8,8.4,2.9,2.4,6.7,1.7,1.4,1.2,0.7,3.3,
2024-11-25,SWG,1200.0,29.4,22.6,11.2,8.7,8.9,2.7,2.6,6.8,1.9,,1.1,1.1,3.0,
2024-11-19,SWG,1200.0,29.6,22.1,11.2,9.0,8.9,2.5,2.5,6.9,2.0,1.2,1.0,1.0,1.9,
2024-11-15,Tecnè,1001.0,29.5,22.9,10.6,8.7,11.3,2.5,2.4,6.2,1.9,,,,4.0,
2024-11-15,Quorum,1202.0,28.3,23.2,11.9,9.0,8.7,3.0,2.1,6.1,1.9,,,,5.8,
2024-11-14,Termometro Politico,3100.0,29.6,22.8,10.2,8.7,8.6,2.8,2.3,6.7,1.7,1.5,1.2,0.6,3.3,
2024-11-12,Demopolis,2000.0,29.2,23.5,11.4,8.7,9.2,2.3,2.0,6.3,1.6,,,,1.5,
2024-11-11,SWG,1200.0,29.8,22.1,11.3,8.9,8.9,2.6,2.3,6.7,2.1,1.0,1.2,1.0,2.1,
2024-11-08,Tecnè,1000.0,29.5,22.8,10.7,8.6,11.3,2.5,2.4,6.1,2.0,,,,4.1,
2024-11-07,Termometro Politico,3200.0,29.7,22.7,10.0,8.8,8.4,3.0,2.3,6.7,1.8,1.4,1.2,0.7,3.3,
2024-11-04,Quorum,1204.0,28.8,22.7,11.9,8.9,9.1,2.4,2.2,6.3,2.2,,,,5.5,
2024-11-04,SWG,1200.0,29.4,22.3,11.6,8.8,8.9,2.6,2.4,6.5,2.0,1.0,1.1,1.1,2.3,
2024-10-31,Termometro Politico,3000.0,29.5,22.9,10.3,8.6,8.5,3.0,2.3,6.7,1.6,1.5,1.1,0.7,3.3,
2024-10-31,Tecnè,1001.0,29.6,23.1,10.6,8.4,11.3,2.6,2.3,6.2,1.9,,,,4.0,
2024-10-28,SWG,1200.0,29.7,22.5,11.6,8.6,8.8,2.4,2.2,6.7,1.9,1.0,1.2,1.1,2.3,
2024-10-26,Tecnè,1004.0,29.6,23.3,10.5,8.2,11.2,2.7,2.2,6.4,1.8,,,,4.1,
2024-10-24,Termometro Politico,3000.0,29.2,23.0,10.2,8.8,8.6,2.9,2.3,6.9,1.7,1.5,1.1,0.6,3.2,
2024-10-23,Eumetra,800.0,29.7,22.9,11.3,8.7,9.2,2.6,2.1,6.6,1.9,,1.0,,4.0,
2024-10-18,Tecnè,1000.0,29.6,23.4,10.4,8.1,11.2,2.9,2.1,6.5,1.7,,,,4.1,
2024-10-17,Termometro Politico,3000.0,29.4,22.9,10.3,8.7,8.6,3.0,2.2,6.8,1.6,1.5,1.0,0.6,3.4,
2024-10-16,Eumetra,800.0,29.6,22.8,11.3,8.6,9.1,2.7,2.2,6.6,1.8,,1.1,,4.2,
2024-10-14,Euromedia,1000.0,30.0,23.2,11.6,8.8,9.0,3.0,2.4,5.2,1.7,0.5,0.5,0.4,3.7,
2024-10-11,Tecnè,1000.0,29.5,23.6,10.2,8.1,11.2,2.8,2.0,6.6,1.8,,,,4.2,
2024-10-14,SWG,1200.0,29.3,22.3,11.7,8.6,9.0,2.7,2.3,6.8,1.8,1.1,1.1,1.3,2.0,
2024-10-10,Termometro Politico,2800.0,29.1,23.1,10.2,8.3,9.0,2.9,2.1,6.7,1.6,1.6,1.2,0.6,3.5,
2024-10-09,EMG,1523.0,29.3,22.2,12.0,8.2,8.5,2.8,2.5,7.1,2.1,,1.2,,4.1,
2024-10-09,Eumetra,800.0,29.5,23.1,11.0,8.6,8.9,2.9,2.1,6.5,1.8,,1.0,,4.6,
2024-10-07,SWG,1200.0,29.5,22.7,11.4,8.5,8.7,2.8,2.2,6.9,1.9,1.1,1.1,1.2,2.0,
2024-10-04,Tecnè,1000.0,29.4,23.7,10.5,8.0,11.1,3.0,2.0,6.5,1.7,,,,4.1,
2024-10-03,Termometro Politico,3200.0,29.2,22.8,10.2,8.5,8.8,3.0,2.2,6.7,1.8,1.6,1.0,0.6,3.6,
2024-10-02,Eumetra,800.0,29.9,23.0,11.2,8.7,8.8,3.2,2.4,6.2,1.6,,0.9,,4.3,
2024-09-27,Tecnè,1000.0,29.3,23.8,10.7,8.2,11.0,2.9,1.9,6.6,1.6,,,,4.0,
2024-09-30,SWG,1200.0,29.8,22.4,11.8,8.4,8.3,3.0,2.5,7.1,1.7,,1.0,1.2,2.8,
2024-09-26,Termometro Politico,3200.0,29.4,22.9,10.3,8.8,9.6,3.0,2.1,6.8,1.6,1.5,,0.9,3.1,
2024-09-25,Euromedia,800.0,30.3,23.5,10.5,9.2,9.0,3.4,2.4,5.0,1.5,0.8,0.8,0.4,3.7,
2024-09-25,Eumetra,800.0,29.7,22.9,11.7,8.4,9.1,3.0,2.5,6.6,1.6,,1.0,,3.5,
2024-09-20,Tecnè,1000.0,29.2,23.6,10.9,8.2,11.0,2.8,2.0,6.5,1.7,,,,4.1,
2024-09-23,SWG,1200.0,30.1,22.6,11.7,8.2,8.5,3.1,2.7,7.1,1.5,,1.0,1.0,2.5,
2024-09-19,Noto,,30.0,22.0,12.5,8.5,9.0,2.5,3.0,7.0,2.0,,,,2.0,
2024-09-19,Termometro Politico,3000.0,29.1,23.2,9.9,9.0,9.3,3.0,2.0,7.0,1.7,1.6,,0.9,3.3,
2024-09-18,Eumetra,803.0,30.0,23.0,11.8,8.5,9.1,3.0,2.4,6.5,1.8,,0.8,,3.1,
2024-09-16,SWG,1200.0,30.3,22.8,11.7,8.1,8.4,3.0,2.6,7.0,1.7,,,1.1,3.3,
2024-09-13,Tecnè,,29.0,23.6,10.7,8.3,10.9,2.9,1.9,6.7,1.8,,,,4.2,
2024-09-12,Termometro Politico,3100.0,29.2,23.5,10.0,8.7,9.5,3.0,2.0,6.8,1.7,1.8,,0.9,2.9,
2024-09-12,Ipsos,1000.0,27.5,21.6,13.9,8.2,9.0,2.5,2.5,6.0,2.0,,,1.0,5.8,
2024-09-11,Eumetra,800.0,30.1,23.1,11.2,8.3,9.5,3.0,2.3,6.7,1.8,,,,4.0,
2024-09-10,Euromedia,1000.0,29.7,23.9,10.3,8.9,8.8,3.3,2.5,5.4,1.8,1.0,0.6,0.7,3.1,
2024-09-11,Piepoli,500.0,28.5,22.5,11.5,8.5,8.5,3.0,2.0,6.0,2.0,,1.0,1.5,5.0,
2024-09-11,Ixè,1000.0,28.0,23.2,11.9,9.4,9.9,3.1,2.0,7.8,1.2,,,,3.5,
2024-09-07,BiDiMedia,1000.0,29.0,23.5,10.9,9.0,8.6,3.0,2.0,6.7,1.6,1.4,0.7,0.8,2.8,
2024-09-06,Tecnè,,28.9,23.8,10.5,8.2,10.7,2.9,2.0,6.5,2.0,,,,4.5,
2024-09-09,SWG,1200.0,30.2,22.5,11.5,8.3,8.5,3.2,2.6,7.2,1.7,1.1,,,3.2,
2024-09-02,SWG,1200.0,30.3,22.3,11.6,8.5,8.4,3.2,2.3,6.9,1.9,1.3,,,3.3,
2024-08-29,Quorum,1205.0,28.6,23.3,11.1,7.9,9.2,3.5,2.0,7.0,2.3,1.0,,,4.1,
2024-08-30,Tecnè,,29.1,24.0,10.8,8.3,10.8,2.8,2.0,6.2,1.6,,,,4.1,
2024-08-29,Termometro Politico,2900.0,29.5,23.8,9.9,8.6,9.1,3.1,2.1,7.0,1.6,1.9,,0.9,2.5,
2024-08-22,Termometro Politico,3200.0,29.3,23.7,10.1,8.5,9.0,3.2,2.1,7.0,1.7,1.8,,1.0,2.6,
2024-08-16,Lab2101,1000.0,28.9,23.0,11.0,9.3,9.0,3.4,2.6,5.4,2.0,,0.7,1.5,3.2,
2024-08-03,Lab2101,1000.0,28.7,23.2,10.9,9.2,9.1,3.3,2.6,5.5,2.1,,0.9,1.5,3.0,
2024-07-29,SWG,1200.0,29.8,22.7,11.4,8.3,8.3,3.2,2.4,6.7,2.0,1.5,,,3.7,
2024-07-26,Tecnè,1001.0,28.9,24.6,9.8,8.5,10.3,3.0,1.9,6.7,2.0,,,,4.1,
2024-07-25,Euromedia,,28.7,23.5,10.4,9.2,9.0,3.4,2.4,5.6,1.5,1.1,0.9,1.0,3.3,
2024-07-25,Termometro Politico,3000.0,29.6,24.0,9.7,8.3,9.4,3.1,2.0,6.9,1.7,2.0,,1.0,2.3,
2024-07-25,Ipsos,1000.0,27.9,22.6,13.0,8.0,8.7,3.0,2.3,6.4,,1.6,0.8,1.0,4.7,
2024-07-24,Piepoli,500.0,28.5,22.5,11.0,8.0,8.5,3.5,2.5,6.5,2.5,1.5,1.0,1.5,2.5,
2024-07-22,SWG,1200.0,30.0,22.8,11.1,8.5,8.3,3.4,2.4,6.9,1.8,1.4,,,3.4,
2024-07-21,Lab2101,1000.0,28.2,23.5,10.5,9.1,9.3,3.2,2.7,5.3,2.2,,0.7,1.4,3.9,
2024-07-19,Tecnè,1001.0,28.7,24.6,9.8,8.4,10.2,3.2,2.0,6.9,2.0,1.6,,,2.6,
2024-07-18,Quorum,1202.0,28.5,23.8,10.5,8.6,9.3,2.9,1.9,6.4,2.1,1.3,,1.2,3.5,
2024-07-18,Termometro Politico,3000.0,29.2,24.0,9.9,8.5,9.6,3.1,1.9,7.1,1.6,1.9,,1.0,2.2,
2024-07-15,SWG,1200.0,29.6,23.0,10.8,8.4,8.7,3.5,2.2,7.0,1.8,1.5,1.0,1.0,1.5,
2024-07-12,Tecnè,1005.0,28.7,24.5,9.7,8.5,10.0,3.1,1.9,6.8,2.2,1.9,,,2.7,
2024-07-11,Termometro Politico,3000.0,29.1,24.3,9.6,8.8,9.5,3.2,2.0,6.9,1.6,2.1,,1.0,1.9,
2024-07-08,SWG,1200.0,29.2,23.3,10.6,8.4,8.5,3.4,2.1,7.0,1.9,1.7,1.1,1.0,1.8,
2024-07-05,Tecnè,1000.0,28.7,24.6,9.6,8.7,10.0,3.2,1.9,6.7,2.0,2.1,,,2.5,
2024-07-04,Termometro Politico,3300.0,29.3,24.2,9.5,8.9,9.6,3.3,1.9,7.1,1.5,2.0,,0.9,1.8,
2024-07-01,SWG,1200.0,29.0,23.6,10.3,8.7,8.5,3.5,1.9,7.0,2.0,1.7,1.0,1.1,1.7,
2024-06-28,Tecnè,1000.0,28.8,24.5,9.6,8.8,9.8,3.4,1.7,6.8,2.1,2.2,,,2.3,
2024-06-27,Termometro Politico,3200.0,29.6,24.2,9.4,8.7,9.6,3.1,2.0,7.2,1.5,2.1,,1.1,1.5,
2024-06-26,Euromedia,1000.0,29.0,24.0,9.7,9.0,9.2,3.4,3.1,6.6,1.6,1.7,0.5,1.2,1.0,
2024-06-27,Quorum,805.0,29.2,24.0,9.6,8.1,9.0,3.7,2.1,6.8,2.0,2.5,,0.6,2.4,
2024-06-27,Ipsos,1000.0,28.1,22.8,12.5,8.8,8.5,2.5,2.5,6.2,1.5,,,1.1,5.5,
2024-06-25,Demopolis,2000.0,29.0,25.0,10.2,8.7,9.3,3.2,2.0,6.5,,,,,6.1,
2024-06-24,SWG,1200.0,29.0,23.5,10.0,8.8,8.7,3.4,1.7,7.1,2.2,2.0,1.0,1.2,1.4,
2024-06-21,Tecnè,1000.0,29.0,24.3,9.7,8.9,9.8,3.3,1.8,6.9,2.0,2.1,,,,
2024-06-17,SWG,1200.0,28.6,23.8,9.7,8.8,9.0,3.6,1.8,6.9,2.1,2.3,1.0,1.1,1.3,
2024-06-13,Termometro Politico,3500.0,29.4,24.4,9.6,8.6,9.8,3.2,2.0,7.1,1.6,2.0,,1.0,1.3,
2024-05-23,Demopolis,,27.0,22.0,14.5,8.8,8.7,4.2,3.7,4.3,2.2,,2.8,0.5,1.3,
2024-05-23,BiDiMedia,810.0,26.8,21.4,15.0,9.4,8.4,4.5,3.9,4.5,2.0,,2.5,0.5,1.1,
2024-05-23,Termometro Politico,3900.0,26.8,19.6,15.7,9.0,8.5,4.5,3.9,4.0,2.5,,1.8,1.0,2.7,
2024-05-22,Eumetra,800.0,27.1,21.0,16.2,8.7,8.9,4.5,3.8,4.2,2.2,,2.0,,1.4,
2024-05-22,Quorum,1604.0,27.2,20.3,15.9,9.0,8.5,4.1,3.9,4.9,1.9,,0.9,0.5,2.9,
2024-05-21,Ipsos,1000.0,26.5,22.5,15.4,8.6,9.2,4.1,4.6,4.6,2.0,,0.7,0.9,1.6,
2024-05-23,EMG,2000.0,26.9,20.9,15.7,9.3,7.9,4.5,3.7,4.2,,,,,7.1,
2024-05-21,Cluster17,1051.0,26.9,20.8,15.5,8.7,8.2,4.6,3.7,4.3,2.2,1.0,2.2,0.6,1.3,
2024-05-20,BiDiMedia,1190.0,27.1,21.2,15.2,9.1,8.3,4.6,4.0,4.4,2.0,,2.5,,1.6,
2024-05-23,Ixè,1000.0,26.3,20.9,15.5,8.3,8.8,4.0,4.0,4.1,2.3,,2.2,,3.6,
2024-05-20,Tecnè,,26.8,20.8,16.0,8.1,9.9,4.6,4.0,4.2,1.6,,2.0,,2.0,
2024-05-19,Lab2101,,27.7,19.5,15.9,9.3,7.8,4.8,4.0,4.4,,,3.3,,3.3,
2024-05-20,SWG,1200.0,27.0,21.0,15.7,8.3,8.4,4.4,4.2,4.6,2.4,,2.2,1.0,0.8,
2024-05-16,Ipsos,,26.4,22.3,16.3,8.6,9.5,4.1,3.3,4.6,1.6,,1.6,,1.7,
2024-05-18,Tecnè,,27.2,20.6,15.7,8.0,9.9,4.6,4.0,4.2,1.7,,2.1,,2.0,
2024-05-16,Termometro Politico,4300.0,27.2,19.6,15.9,8.8,8.4,4.9,3.9,3.8,2.5,,1.8,0.7,2.5,
2024-05-15,Euromedia,800.0,27.0,20.3,16.7,9.2,8.5,4.5,4.0,4.2,2.7,,2.0,,0.9,
2024-05-14,BiDiMedia,1000.0,27.4,21.0,15.5,8.6,8.2,4.7,4.0,4.3,1.9,,2.2,,2.2,
2024-05-13,SWG,1200.0,26.8,20.5,16.2,8.6,8.3,4.6,4.4,4.4,2.2,,2.4,,1.6,
2024-05-12,Quorum,,26.8,20.7,16.1,8.3,8.0,4.7,4.0,4.4,1.8,,1.0,,4.2,
2024-05-11,Tecnè,,27.4,20.5,15.7,7.9,10.1,4.5,3.9,4.1,,,2.2,,3.7,
2024-05-09,Termometro Politico,3900.0,27.0,19.6,16.2,8.8,8.6,4.9,3.8,3.9,,,1.9,,5.3,
2024-05-08,Eumetra,800.0,27.6,20.5,16.5,8.6,8.7,4.7,4.0,4.2,1.9,,2.1,,1.2,
2024-05-07,Demopolis,2000.0,27.2,20.7,15.0,8.5,8.6,4.6,3.7,4.3,2.2,,2.8,,2.0,
2024-05-06,SWG,1200.0,26.6,20.6,16.1,8.8,8.5,4.9,4.5,4.6,1.8,,2.3,,1.3,
2024-05-05,BiDiMedia,1000.0,27.7,20.8,15.7,8.8,8.1,4.9,4.0,4.3,1.6,0.9,2.0,,1.2,
2024-05-03,Quorum,800.0,27.3,20.5,16.0,8.3,8.3,4.5,3.8,4.4,1.9,,1.5,,3.5,
2024-05-03,Tecnè,4600.0,27.3,20.3,15.9,7.8,10.2,4.6,3.8,4.0,1.5,,2.1,,,
2024-05-02,Euromedia,4600.0,27.5,20.5,17.0,8.4,8.8,4.5,3.7,3.8,2.0,,1.8,,2.0,
2024-05-02,Termometro Politico,4600.0,27.3,19.8,15.9,8.6,8.4,4.9,4.0,3.6,2.5,1.7,1.7,,1.6,
2024-04-30,Eumetra,,27.6,20.3,16.0,8.4,8.6,4.5,4.0,4.2,1.9,1.2,2.3,,1.0,
2024-04-29,SWG,1200.0,26.6,20.3,15.6,8.6,8.4,4.5,4.2,4.5,2.0,1.2,2.1,,2.0 [ f ],
